StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,id,discipline,impressiveness,learn,impressed,competence,trust,consensus,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2024-03-07 17:44:36,2024-03-07 17:46:19,0,82.44.60.232,100,103,1,2024-03-07 17:46:20,R_35qJKaRf2YgM55T,NA,NA,NA,NA,51.6539,-0.0888,anonymous,EN,1,I pay attention,NA,female,54,3,60e02be4699a3f5cbe314e99,16,archeo,imp,3,3,4,4,4,65e9eef044025c5db91c0602,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:34Z,2024-03-07T16:46:22Z,NA,2024-03-07T16:46:28Z,108,C232A6J3,1836,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
2024-03-07 17:44:36,2024-03-07 17:46:19,0,82.44.60.232,100,103,1,2024-03-07 17:46:20,R_35qJKaRf2YgM55T,NA,NA,NA,NA,51.6539,-0.0888,anonymous,EN,1,I pay attention,NA,female,54,3,60e02be4699a3f5cbe314e99,16,entom,basic,4,4,4,4,4,65e9eef044025c5db91c0602,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:34Z,2024-03-07T16:46:22Z,NA,2024-03-07T16:46:28Z,108,C232A6J3,1836,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
2024-03-07 17:41:01,2024-03-07 17:46:25,0,31.49.7.98,100,323,1,2024-03-07 17:46:25,R_2OMElh5PriBwJst,NA,NA,NA,NA,52.2615,1.3726,anonymous,EN,1,I pay attention,NA,female,59,2,60e85190b9cffd8fed0a064f,17,archeo,basic,3,4,3,3,4,65e9ee0d4fdcc272352cfc48,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:59Z,2024-03-07T16:46:27Z,NA,2024-03-07T16:46:33Z,328,C232A6J3,1819,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2024-03-07 17:41:01,2024-03-07 17:46:25,0,31.49.7.98,100,323,1,2024-03-07 17:46:25,R_2OMElh5PriBwJst,NA,NA,NA,NA,52.2615,1.3726,anonymous,EN,1,I pay attention,NA,female,59,2,60e85190b9cffd8fed0a064f,17,entom,imp,4,4,3,3,4,65e9ee0d4fdcc272352cfc48,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:59Z,2024-03-07T16:46:27Z,NA,2024-03-07T16:46:33Z,328,C232A6J3,1819,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2024-03-07 17:44:50,2024-03-07 17:46:41,0,37.152.222.25,100,111,1,2024-03-07 17:46:42,R_3tErKB4AhzmQgYp,NA,NA,NA,NA,51.5181,0.194,anonymous,EN,1,I pay attention,NA,female,44,3,613bbe68c94dfc382e562d90,18,archeo,basic,3,5,3,3,1,65e9eefa3bb7a0a0ef29d388,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47Z,2024-03-07T16:46:44Z,NA,2024-03-07T16:46:45Z,117,C232A6J3,1371,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:50,2024-03-07 17:46:41,0,37.152.222.25,100,111,1,2024-03-07 17:46:42,R_3tErKB4AhzmQgYp,NA,NA,NA,NA,51.5181,0.194,anonymous,EN,1,I pay attention,NA,female,44,3,613bbe68c94dfc382e562d90,18,entom,imp,4,5,3,3,1,65e9eefa3bb7a0a0ef29d388,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47Z,2024-03-07T16:46:44Z,NA,2024-03-07T16:46:45Z,117,C232A6J3,1371,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:49,2024-03-07 17:46:51,0,212.132.37.112,100,122,1,2024-03-07 17:46:51,R_2n3hyAsCvXFahqA,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,1,i pay attention,NA,female,26,5,61746af564af4eb139bc1a4f,19,archeo,basic,2,2,4,3,2,65e9eefb6425c6a9550c314e,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47Z,2024-03-07T16:46:54Z,NA,2024-03-07T16:46:55Z,128,C232A6J3,346,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
2024-03-07 17:44:49,2024-03-07 17:46:51,0,212.132.37.112,100,122,1,2024-03-07 17:46:51,R_2n3hyAsCvXFahqA,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,1,i pay attention,NA,female,26,5,61746af564af4eb139bc1a4f,19,entom,imp,2,2,3,3,2,65e9eefb6425c6a9550c314e,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:47Z,2024-03-07T16:46:54Z,NA,2024-03-07T16:46:55Z,128,C232A6J3,346,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
2024-03-07 17:44:39,2024-03-07 17:46:55,0,31.121.245.149,100,136,1,2024-03-07 17:46:55,R_3axHF6o1R4HxnZW,NA,NA,NA,NA,53.5549,-2.0681,anonymous,EN,1,I pay attention,NA,male,59,4,5a1dcd14f2e3460001edcabf,20,archeo,imp,4,5,4,4,4,65e9eef5f916caf32336eeba,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:37Z,2024-03-07T16:46:56Z,NA,2024-03-07T16:46:57Z,140,C232A6J3,2673,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:39,2024-03-07 17:46:55,0,31.121.245.149,100,136,1,2024-03-07 17:46:55,R_3axHF6o1R4HxnZW,NA,NA,NA,NA,53.5549,-2.0681,anonymous,EN,1,I pay attention,NA,male,59,4,5a1dcd14f2e3460001edcabf,20,entom,basic,4,5,4,4,4,65e9eef5f916caf32336eeba,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:37Z,2024-03-07T16:46:56Z,NA,2024-03-07T16:46:57Z,140,C232A6J3,2673,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
